bus	device	latitude	longitude	updated
1	stm32	22.251497	113.517815	2018-05-20T10:43:01.277Z
1	stm32	22.251497	113.517807	2018-05-20T10:43:17.674Z
1	stm32	22.251528	113.517891	2018-05-20T10:43:33.736Z
1	stm32	22.251572	113.517883	2018-05-20T10:43:49.878Z
1	stm32	22.251566	113.517883	2018-05-20T10:44:06.055Z
2	arduino	22.372679		2018-05-20T12:14:10.608Z
2	arduino	22.37273		2018-05-20T12:14:15.630Z
2	arduino	22.37278		2018-05-20T12:14:20.644Z
2	arduino	22.37282		2018-05-20T12:14:26.236Z
2	arduino	22.372873		2018-05-20T12:14:30.684Z
2	arduino	22.372923		2018-05-20T12:14:35.565Z
2	arduino	22.372974		2018-05-20T12:14:41.482Z
2	arduino	22.373032		2018-05-20T12:14:45.523Z
2	arduino	22.373077		2018-05-20T12:14:50.645Z
2	arduino	22.373123		2018-05-20T12:14:55.644Z
2	arduino	22.373178		2018-05-20T12:15:00.546Z
2	arduino	22.373241		2018-05-20T12:15:05.487Z
2	arduino	22.373291		2018-05-20T12:15:11.143Z
2	arduino	22.373339		2018-05-20T12:15:16.565Z
2	arduino	22.373402		2018-05-20T12:15:20.640Z
2	arduino	22.373466		2018-05-20T12:15:25.702Z
2	arduino	22.373541		2018-05-20T12:15:30.561Z
2	arduino	22.37359		2018-05-20T12:15:35.961Z
2	arduino	22.373594		2018-05-20T12:15:40.579Z
2	arduino	22.37359		2018-05-20T12:15:45.520Z
2	arduino	22.373564		2018-05-20T12:15:50.559Z
2	arduino	22.373549		2018-05-20T12:15:56.561Z
2	arduino	22.373541		2018-05-20T12:16:00.561Z
2	arduino	22.373547		2018-05-20T12:16:05.518Z
2	arduino	22.37355		2018-05-20T12:16:10.558Z
2	arduino	22.373545		2018-05-20T12:16:15.601Z
2	arduino	22.373543		2018-05-20T12:16:20.534Z
2	arduino	22.373533		2018-05-20T12:16:25.534Z
2	arduino	22.373531		2018-05-20T12:16:30.533Z
2	arduino	22.373543		2018-05-20T12:16:35.578Z
2	arduino	22.373579		2018-05-20T12:16:40.596Z
2	arduino	22.373573		2018-05-20T12:16:45.554Z
2	arduino	22.373568		2018-05-20T12:16:50.516Z
2	arduino	22.373568		2018-05-20T12:16:55.554Z
2	arduino	22.373556		2018-05-20T12:17:00.496Z
2	arduino	22.373539		2018-05-20T12:17:05.516Z
2	arduino	22.373537		2018-05-20T12:17:11.857Z
2	arduino	22.373549		2018-05-20T12:17:15.493Z
2	arduino	22.373554		2018-05-20T12:17:20.670Z
2	arduino	22.373547		2018-05-20T12:17:25.530Z
2	arduino	22.373556		2018-05-20T12:17:30.472Z
2	arduino	22.373583		2018-05-20T12:17:35.530Z
2	arduino	22.373594		2018-05-20T12:17:40.512Z
2	arduino	22.37361		2018-05-20T12:17:45.572Z
2	arduino	22.3736		2018-05-20T12:17:50.552Z
2	arduino	22.373575		2018-05-20T12:17:55.552Z
2	arduino	22.373589		2018-05-20T12:18:00.531Z
2	arduino	22.373589		2018-05-20T12:18:05.509Z
2	arduino	22.373596		2018-05-20T12:18:10.528Z
2	arduino	22.37359		2018-05-20T12:18:15.531Z
2	arduino	22.373594		2018-05-20T12:18:20.567Z
2	arduino	22.373587		2018-05-20T12:18:25.725Z
2	arduino	22.373613		2018-05-20T12:18:30.506Z
2	arduino	22.37361		2018-05-20T12:18:35.587Z
2	arduino	22.373646		2018-05-20T12:18:40.585Z
2	arduino	22.373632		2018-05-20T12:18:45.705Z
2	arduino	22.373634		2018-05-20T12:18:50.504Z
2	arduino	22.373621		2018-05-20T12:18:55.605Z
2	arduino	22.373629		2018-05-20T12:19:00.665Z
2	arduino	22.373632		2018-05-20T12:19:05.526Z
2	arduino	22.373634		2018-05-20T12:19:10.585Z
2	arduino	22.373613		2018-05-20T12:19:15.505Z
2	arduino	22.373594		2018-05-20T12:19:20.543Z
2	arduino	22.373583		2018-05-20T12:19:25.542Z
2	arduino	22.373568		2018-05-20T12:19:30.540Z
2	arduino	22.373549		2018-05-20T12:19:35.542Z
2	arduino	22.373549		2018-05-20T12:19:40.482Z
2	arduino	22.373615		2018-05-20T12:19:45.581Z
2	arduino	22.373638		2018-05-20T12:19:50.599Z
2	arduino	22.373646		2018-05-20T12:19:56.603Z
2	arduino	22.373655		2018-05-20T12:20:00.521Z
2	arduino	22.373672		2018-05-20T12:20:05.502Z
2	arduino	22.373676		2018-05-20T12:20:10.767Z
2	arduino	22.37369		2018-05-20T12:20:15.528Z
2	arduino	22.37369		2018-05-20T12:20:20.744Z
2	arduino	22.373695		2018-05-20T12:20:25.689Z
2	arduino	22.373684		2018-05-20T12:20:30.512Z
2	arduino	22.373686		2018-05-20T12:20:35.629Z
2	arduino	22.373701		2018-05-20T12:20:40.509Z
2	arduino	22.373711		2018-05-20T12:20:45.529Z
2	arduino	22.373737		2018-05-20T12:20:50.772Z
2	arduino	22.373728		2018-05-20T12:20:55.652Z
2	arduino	22.373705		2018-05-20T12:21:00.672Z
2	arduino	22.373667		2018-05-20T12:21:05.529Z
2	arduino	22.373648		2018-05-20T12:21:10.712Z
2	arduino	22.373636		2018-05-20T12:21:15.569Z
2	arduino	22.373705		2018-05-20T12:21:20.706Z
2	arduino	22.373766		2018-05-20T12:21:25.611Z
2	arduino	22.373789		2018-05-20T12:21:30.669Z
2	arduino	22.373764		2018-05-20T12:21:35.506Z
2	arduino	22.373655		2018-05-20T12:21:40.528Z
2	arduino	22.373465		2018-05-20T12:21:46.629Z
2	arduino	22.373207		2018-05-20T12:21:51.547Z
2	arduino	22.359121		2018-05-20T12:34:27.565Z
2	arduino	22.359087		2018-05-20T12:35:11.606Z
2	arduino	22.359066		2018-05-20T12:35:16.565Z
2	arduino	22.359108		2018-05-20T12:35:21.648Z
2	arduino	22.359112		2018-05-20T12:35:26.508Z
2	arduino	22.359119		2018-05-20T12:35:31.668Z
2	arduino	22.359108		2018-05-20T12:35:36.528Z
2	arduino	22.359051		2018-05-20T12:35:41.567Z
2	arduino	22.359015		2018-05-20T12:35:46.687Z
2	arduino	22.358992		2018-05-20T12:35:51.628Z
2	arduino	22.358961		2018-05-20T12:35:56.567Z
2	arduino	22.358936		2018-05-20T12:36:01.668Z
2	arduino	22.358904		2018-05-20T12:36:06.587Z
2	arduino	22.358879		2018-05-20T12:36:11.548Z
2	arduino	22.358866		2018-05-20T12:36:16.547Z
2	arduino	22.36079		2018-05-20T13:46:30.615Z
2	arduino	22.360826		2018-05-20T13:46:35.635Z
2	arduino	22.360853		2018-05-20T13:46:40.575Z
2	arduino	22.360836		2018-05-20T13:51:51.569Z
2	arduino	22.36075		2018-05-20T13:55:42.628Z
2	arduino	22.36075		2018-05-20T13:55:47.568Z
2	arduino	22.360746		2018-05-20T13:55:52.547Z
2	arduino	22.360891		2018-05-20T14:10:09.819Z
2	arduino	22.360867		2018-05-20T14:10:14.700Z
2	arduino	22.360834		2018-05-20T14:10:19.736Z
2	arduino	22.360846		2018-05-20T14:10:25.055Z
2	arduino	22.360853		2018-05-20T14:10:30.516Z
2	arduino	22.360853		2018-05-20T14:10:34.476Z
2	arduino	22.36087		2018-05-20T14:10:39.994Z
2	arduino	22.360874		2018-05-20T14:10:44.595Z
2	arduino	22.360876		2018-05-20T14:10:49.975Z
2	arduino	22.36088		2018-05-20T14:10:54.632Z
2	arduino	22.360882		2018-05-20T14:11:00.114Z
2	arduino	22.36088		2018-05-20T14:11:04.514Z
2	arduino	22.360876		2018-05-20T14:11:09.654Z
2	arduino	22.360876		2018-05-20T14:11:14.853Z
2	arduino	22.360874		2018-05-20T14:11:19.489Z
2	arduino	22.360878		2018-05-20T14:11:24.490Z
2	arduino	22.360878		2018-05-20T14:11:29.569Z
2	arduino	22.360878		2018-05-20T14:11:34.630Z
2	arduino	22.36088		2018-05-20T14:11:39.750Z
2	arduino	22.360882		2018-05-20T14:11:45.168Z
2	arduino	22.360882		2018-05-20T14:11:49.991Z
2	arduino	22.36088		2018-05-20T14:11:54.909Z
2	arduino	22.360874		2018-05-20T14:12:00.391Z
2	arduino	22.36087		2018-05-20T14:12:04.708Z
2	arduino	22.360865		2018-05-20T14:12:10.169Z
2	arduino	22.360867		2018-05-20T14:12:14.468Z
2	arduino	22.36087		2018-05-20T14:12:20.146Z
2	arduino	22.360878		2018-05-20T14:12:24.685Z
2	arduino	22.360884		2018-05-20T14:12:29.546Z
2	arduino	22.360891		2018-05-20T14:12:34.905Z
2	arduino	22.360897		2018-05-20T14:12:40.305Z
2	arduino	22.360895		2018-05-20T14:12:44.865Z
2	arduino	22.360897		2018-05-20T14:12:50.385Z
2	arduino	22.360891		2018-05-20T14:12:54.784Z
2	arduino	22.360889		2018-05-20T14:13:00.864Z
2	arduino	22.360886		2018-05-20T14:13:05.204Z
2	arduino	22.36088		2018-05-20T14:13:09.665Z
2	arduino	22.360863		2018-05-20T14:13:15.005Z
2	arduino	22.360859		2018-05-20T14:13:19.881Z
2	arduino	22.360844		2018-05-20T14:13:25.721Z
2	arduino	22.360832		2018-05-20T14:13:29.539Z
2	arduino	22.360826		2018-05-20T14:13:36.018Z
2	arduino	22.360826		2018-05-20T14:13:39.560Z
2	arduino	22.36083		2018-05-20T14:13:44.560Z
2	arduino	22.360832		2018-05-20T14:13:49.738Z
2	arduino	22.360825		2018-05-20T14:13:54.462Z
2	arduino	22.360817		2018-05-20T14:13:59.458Z
2	arduino	22.3608		2018-05-20T14:14:05.420Z
2	arduino	22.360786		2018-05-20T14:14:09.518Z
2	arduino	22.360779		2018-05-20T14:14:14.420Z
2	arduino	22.360779		2018-05-20T14:14:19.636Z
2	arduino	22.360786		2018-05-20T14:14:25.776Z
2	arduino	22.360794		2018-05-20T14:14:29.454Z
2	arduino	22.360796		2018-05-20T14:14:34.957Z
2	arduino	22.360802		2018-05-20T14:14:39.676Z
2	arduino	22.360804		2018-05-20T14:14:44.716Z
2	arduino	22.360802		2018-05-20T14:14:49.536Z
2	arduino	22.3608		2018-05-20T14:14:54.656Z
2	arduino	22.360794		2018-05-20T14:14:59.536Z
2	arduino	22.360788		2018-05-20T14:15:04.596Z
2	arduino	22.360783		2018-05-20T14:15:09.475Z
2	arduino	22.360777		2018-05-20T14:15:14.675Z
2	arduino	22.360771		2018-05-20T14:15:19.491Z
2	arduino	22.360765		2018-05-20T14:15:25.172Z
2	arduino	22.360764		2018-05-20T14:15:30.292Z
2	arduino	22.360762		2018-05-20T14:15:35.491Z
2	arduino	22.360762		2018-05-20T14:15:39.430Z
2	arduino	22.360758		2018-05-20T14:15:45.151Z
2	arduino	22.360764		2018-05-20T14:15:50.250Z
2	arduino	22.360767		2018-05-20T14:15:55.131Z
2	arduino	22.360882		2018-05-20T14:17:00.944Z
2	arduino	22.360714		2018-05-20T14:19:50.588Z
2	arduino	22.360943		2018-05-20T14:34:09.409Z
2	arduino	22.360943		2018-05-20T14:34:14.489Z
2	arduino	22.360939		2018-05-20T14:34:19.511Z
2	arduino	22.360943		2018-05-20T14:34:24.550Z
2	arduino	22.360947		2018-05-20T14:34:30.030Z
2	arduino	22.360949		2018-05-20T14:34:34.489Z
2	arduino	22.360941		2018-05-20T14:34:39.490Z
2	arduino	22.360931		2018-05-20T14:34:44.510Z
2	arduino	22.360931		2018-05-20T14:34:49.450Z
2	arduino	22.360922		2018-05-20T14:34:54.430Z
2	arduino	22.360914		2018-05-20T14:34:59.470Z
2	arduino	22.360918		2018-05-20T14:35:04.508Z
2	arduino	22.36092		2018-05-20T14:35:09.731Z
2	arduino	22.360922		2018-05-20T14:35:14.428Z
2	arduino	22.360765		2018-05-20T14:44:35.679Z
2	arduino	22.360764		2018-05-20T14:44:39.477Z
2	arduino	22.360769		2018-05-20T14:44:48.940Z
2	arduino	22.360779		2018-05-20T14:44:54.659Z
2	arduino	22.360769		2018-05-20T14:44:59.200Z
2	arduino	22.360765		2018-05-20T14:45:01.380Z
