|segment|distance(unit: m)|frequency|span(unit: s)|routeNumber
0|明珠中-翠微|415.4575049019262|16|239.04500000000002|1
1|翠微-仁恒星园|992.2686436217629|9|170.09400000000002|1
2||0.0|0|0.0|1
3|香洲区府-南村|963.6591653437409|9|468.65200000000016|1
4|南村-兴业中|3769.492612451757|56|1139.7969999999998|1
5|兴业中-南方软件园|170.53615959626612|1|28.201|1
6|明珠中-翠微|476.8957789806209|10|148.54500000000002|1
7|翠微-仁恒星园|1313.7494777675488|13|233.59100000000007|1
8|仁恒星园-香洲区府|457.58847591367913|3|124.929|1
9|香洲区府-南村|402.77036919301315|6|179.211|1
10|南村-兴业中|3457.3803281897885|58|966.3200000000002|1
11|兴业中-南方软件园|15170.893726091346|120|2005.1900000000003|1
12|明珠中-翠微|820.0244567653833|10|210.29000000000002|1
13|翠微-仁恒星园|2740.8972924595437|51|807.0900000000001|1
14|仁恒星园-香洲区府|661.2833540192105|13|233.716|1
15|香洲区府-南村|323.8309513574734|3|65.66|1
16|南村-兴业中|1914.7401207098303|35|561.194|1
17|兴业中-南方软件园|803.3474042539556|16|246.60100000000003|1
18|明珠中-翠微|805.0769065905707|13|248.74899999999997|1
19|翠微-仁恒星园|2759.9812600119617|49|782.131|1
20|仁恒星园-香洲区府|834.5271062739514|15|280.951|1
21|香洲区府-南村|338.2229982276472|3|64.279|1
22|南村-兴业中|1925.9980871074906|33|516.9140000000001|1
23|兴业中-南方软件园|15834.405341068974|150|2194.76|1
24|明珠中-翠微|825.981365166013|12|277.98900000000003|1
25|翠微-仁恒星园|2707.655127304798|40|634.8190000000001|1
26|仁恒星园-香洲区府|677.0870501676328|11|231.05800000000002|1
27|香洲区府-南村|365.414701378529|16|277.48400000000004|1
28|南村-兴业中|1924.2672112664327|39|612.3960000000001|1
29|兴业中-南方软件园|16128.169955327317|126|1991.326|1
30|明珠中-翠微|825.981365166013|12|277.98900000000003|1
31|翠微-仁恒星园|2707.655127304798|40|634.8190000000001|1
32|仁恒星园-香洲区府|677.0870501676328|11|231.05800000000002|1
33|香洲区府-南村|365.414701378529|16|277.48400000000004|1
34|南村-兴业中|1924.2672112664327|39|612.3960000000001|1
35|兴业中-南方软件园|16128.169955327317|126|1991.326|1
36|明珠中-翠微|275.2203680111541|5|64.834|1
37|翠微-仁恒星园|2736.439068136945|38|612.8109999999998|1
38|仁恒星园-香洲区府|654.9486924578353|6|110.184|1
39|香洲区府-南村|351.81469285168146|4|73.336|1
40|南村-兴业中|1870.5249260297537|34|527.9040000000001|1
41|兴业中-南方软件园|15937.14456634901|146|2120.6859999999997|1
42|明珠中-翠微|842.4176937773422|9|231.60300000000004|1
43|翠微-仁恒星园|2765.725818248208|45|717.9310000000002|1
44|仁恒星园-香洲区府|664.0137611923586|13|210.07700000000006|1
45|香洲区府-南村|313.341764505647|2|50.778999999999996|1
46|南村-兴业中|1929.270900360692|45|730.559|1
47|兴业中-南方软件园|15786.833396333916|119|1912.6980000000003|1
48|明珠中-翠微|889.0829158635452|11|411.62100000000004|1
49|翠微-仁恒星园|2722.713179738385|38|652.682|1
50|仁恒星园-香洲区府|640.31295163144|14|249.58800000000002|1
51|香洲区府-南村|350.4768949233846|6|115.89|1
52|南村-兴业中|1893.4794767402755|24|418.211|1
53|兴业中-南方软件园|15758.665132198033|148|2441.0730000000003|1
54|明珠中-翠微|797.5755265128139|8|342.2710000000001|1
55|翠微-仁恒星园|2734.713086780686|30|500.714|1
