routeNumber,isGo2Work,last_stop_name,next_stop_name,seqNumber,next_stop_seq,last_stop_latitude,last_stop_longitude,next_stop_latitude,next_stop_longitude,plannedArrivalTime,segment
1,False,南方软件园,南村,1,2,22.372630798200003,113.5759242192,22.269415658899998,113.545678225,18:00,南方软件园-南村
1,False,南村,香洲区府,2,3,22.269415658899998,113.545678225,22.2685483667,113.5402055565,18:00,南村-香洲区府
1,False,香洲区府,仁恒星园,3,4,22.2685483667,113.5402055565,22.267937753000002,113.5362734381,18:00,香洲区府-仁恒星园
1,False,仁恒星园,安居园,4,5,22.267937753000002,113.5362734381,22.2670834883,113.5309115058,18:00,仁恒星园-安居园
1,False,安居园,翠微,5,6,22.2670834883,113.5309115058,22.257149201300003,113.51952973639999,18:00,安居园-翠微
1,False,翠微,明珠中,6,7,22.257149201300003,113.51952973639999,22.2494339583,113.5202930659,18:00,翠微-明珠中
1,True,明珠中,翠微,1,2,22.249540705900003,113.5205586046,22.2566527273,113.5197711352,7:26,明珠中-翠微
1,True,翠微,仁恒星园,2,3,22.2566527273,113.5197711352,22.2677615185,113.5361339632,7:34,翠微-仁恒星园
1,True,仁恒星园,香洲区府,3,4,22.2677615185,113.5361339632,22.268722118000003,113.5420616451,7:37,仁恒星园-香洲区府
1,True,香洲区府,南村,4,5,22.268722118000003,113.5420616451,22.269260524499998,113.5455172925,7:38,香洲区府-南村
1,True,南村,兴业中,5,6,22.269260524499998,113.5455172925,22.276603,113.55769599999999,7:40,南村-兴业中
1,True,兴业中,南方软件园,6,7,22.276603,113.55769599999999,22.372630798200003,113.5759242192,8:30,兴业中-南方软件园
2,False,南方软件园,南香里,1,2,22.372630798200003,113.5759242192,22.269142217800002,113.5613002505,18:00,南方软件园-南香里
2,False,南香里,香柠花园,2,3,22.269142217800002,113.5613002505,22.2661852178,113.55787525049999,18:00,南香里-香柠花园
2,False,香柠花园,柠溪,3,4,22.2661852178,113.55787525049999,22.260145766999997,113.55139817850001,18:00,香柠花园-柠溪
2,False,柠溪,武警支队,4,5,22.260145766999997,113.55139817850001,22.253792888899998,113.5445233631,18:00,柠溪-武警支队
2,False,武警支队,卓雅花园,5,6,22.253792888899998,113.5445233631,22.2530829134,113.54094529620001,18:00,武警支队-卓雅花园
2,False,卓雅花园,暨南大学,6,7,22.2530829134,113.54094529620001,23.0140708586,113.4170459449,18:00,卓雅花园-暨南大学
2,True,暨南大学,卓雅花园,1,2,22.2504969634,113.53153456049999,22.2529985104,113.5406019735,7:33,暨南大学-卓雅花园
2,True,卓雅花园,武警支队,2,3,22.2529985104,113.5406019735,22.254003807800004,113.54516116090001,7:34,卓雅花园-武警支队
2,True,武警支队,柠溪,3,4,22.254003807800004,113.54516116090001,22.259968611799998,113.5514171123,7:36,武警支队-柠溪
2,True,柠溪,香宁花园,4,5,22.259968611799998,113.5514171123,22.2647339121,113.5563262224,7:38,柠溪-香宁花园
2,True,香宁花园,南香里,5,6,22.2647339121,113.5563262224,22.2690004727,113.56130007790001,7:40,香宁花园-南香里
2,True,南香里,南方软件园,6,7,22.2690004727,113.56130007790001,22.372630798200003,113.5759242192,8:30,南香里-南方软件园
3,False,南方软件园,燃气集团,1,2,22.372630798200003,113.5759242192,22.2886808602,113.57247462379999,18:00,南方软件园-燃气集团
3,False,燃气集团,凤凰北,2,3,22.2886808602,113.57247462379999,22.285712990900002,113.57245946399999,18:00,燃气集团-凤凰北
3,False,凤凰北,君怡花园,3,4,22.285712990900002,113.57245946399999,22.2543661155,113.58651182860001,18:00,凤凰北-君怡花园
3,False,君怡花园,中电大厦,4,5,22.2543661155,113.58651182860001,22.2448563369,113.5703634482,18:00,君怡花园-中电大厦
3,False,中电大厦,竹苑,5,6,22.2448563369,113.5703634482,22.240004000000003,113.55701499999999,18:00,中电大厦-竹苑
3,False,竹苑,兰埔,6,7,22.240004000000003,113.55701499999999,22.236278720100003,113.54089021680001,18:00,竹苑-兰埔
3,False,兰埔,银石雅园,7,8,22.236278720100003,113.54089021680001,22.2321676316,113.53571455870001,18:00,兰埔-银石雅园
3,False,银石雅园,婆石,8,9,22.2321676316,113.53571455870001,22.229163,113.535676,18:00,银石雅园-婆石
3,True,海荣新村,银石雅园,1,2,22.2343017802,113.5259544958,22.235747921599998,113.53800671629999,7:28,海荣新村-银石雅园
3,True,银石雅园,兰埔,2,3,22.235747921599998,113.53800671629999,22.236448054,113.54316058090001,7:29,银石雅园-兰埔
3,True,兰埔,竹苑,3,4,22.236448054,113.54316058090001,22.239866102399997,113.55710546190001,7:32,兰埔-竹苑
3,True,竹苑,中电大厦,4,5,22.239866102399997,113.55710546190001,22.245323322399997,113.5723997999,7:35,竹苑-中电大厦
3,True,中电大厦,君怡花园,5,6,22.245323322399997,113.5723997999,22.254396525100002,113.5870610109,7:40,中电大厦-君怡花园
3,True,君怡花园,白埔路口,6,7,22.254396525100002,113.5870610109,22.3511276975,113.59496219540002,8:05,君怡花园-白埔路口
3,True,白埔路口,南方软件园,7,8,22.3511276975,113.59496219540002,22.372630798200003,113.5759242192,8:30,白埔路口-南方软件园
4,False,南方软件园,大布,1,2,22.372630798200003,113.5759242192,22.295857045300004,113.57374966379999,18:00,南方软件园-大布
4,False,大布,沙岗,2,3,22.295857045300004,113.57374966379999,22.345381870300002,113.5922259859,18:00,大布-沙岗
4,False,沙岗,雅居乐路口,3,4,22.345381870300002,113.5922259859,22.3560680202,113.4407436334,18:00,沙岗-雅居乐路口
4,False,雅居乐路口,雅湖居,4,5,22.3560680202,113.4407436334,22.3515105844,113.4386536801,18:00,雅居乐路口-雅湖居
4,False,雅湖居,振华路中,5,6,22.3515105844,113.4386536801,22.3474996137,113.4503658059,18:00,雅湖居-振华路中
4,False,振华路中,锦绣广场北,6,7,22.3474996137,113.4503658059,22.2807880217,113.4626420399,18:00,振华路中-锦绣广场北
4,False,锦绣广场北,锦绣阳光花园,7,8,22.2807880217,113.4626420399,22.276607000000002,113.466958,18:00,锦绣广场北-锦绣阳光花园
4,False,锦绣阳光花园,安阜工业区,8,9,22.276607000000002,113.466958,22.2630050691,113.480019685,18:00,锦绣阳光花园-安阜工业区
4,False,安阜工业区,中澳新城景湖居,9,10,22.2630050691,113.480019685,22.2596359048,113.486609299,18:00,安阜工业区-中澳新城景湖居
4,False,中澳新城景湖居,优越香格里,10,11,22.2596359048,113.486609299,22.2547806655,113.4902559033,18:00,中澳新城景湖居-优越香格里
4,False,优越香格里,中澳丽珠花园,11,12,22.2547806655,113.4902559033,22.2485745081,113.4916291943,18:00,优越香格里-中澳丽珠花园
4,True,中澳丽珠花园,优越香格里,1,2,22.2481971648,113.4919027796,22.255031122,113.4903643917,7:17,中澳丽珠花园-优越香格里
4,True,优越香格里,中澳新城景湖居,2,3,22.255031122,113.4903643917,22.259700445100002,113.4867943715,7:18,优越香格里-中澳新城景湖居
4,True,中澳新城景湖居,安阜工业园,3,4,22.259700445100002,113.4867943715,22.2630050691,113.480019685,7:22,中澳新城景湖居-安阜工业园
